New Identifier,Original Identifier
seq1,fig|1280.52271.peg.135|
seq2,fig|1280.51701.peg.82|
seq3,fig|1280.52119.peg.94|
seq4,fig|1280.51993.peg.202|
seq5,fig|1280.52053.peg.19|
seq6,fig|1280.52051.peg.53|
seq7,fig|1280.52241.peg.65|
seq8,fig|1280.52103.peg.310|
seq9,fig|1280.52114.peg.327|
seq10,fig|1280.51827.peg.57|
seq11,fig|1280.52104.peg.24|
seq12,fig|1280.52021.peg.252|
seq13,fig|1280.52001.peg.281|
seq14,fig|1280.52026.peg.286|
seq15,fig|1280.52300.peg.58|
seq16,fig|1280.52028.peg.41|
seq17,fig|1280.51625.peg.89|
seq18,fig|1280.52122.peg.29|
seq19,fig|1280.52296.peg.90|
seq20,fig|1280.52023.peg.11|
seq21,fig|1280.52275.peg.8|
seq22,fig|1280.52098.peg.12|
seq23,fig|1280.52124.peg.171|
seq24,fig|1280.51997.peg.42|
seq25,fig|1280.51765.peg.33|
seq26,fig|1280.52115.peg.324|
seq27,fig|1280.52018.peg.22|
seq28,fig|1280.52005.peg.223|
seq29,fig|1280.52123.peg.101|
seq30,fig|1280.52112.peg.5|
seq31,fig|1280.52255.rna.3|
seq32,fig|1280.52121.peg.79|
seq33,fig|1280.52006.peg.193|
seq34,fig|1280.52057.peg.31|
seq35,fig|1280.52030.rna.3|
seq36,fig|1280.52266.peg.111|
seq37,fig|1280.52127.peg.78|
seq38,fig|1280.52299.peg.157|
seq39,fig|1280.52280.peg.110|
seq40,fig|1280.52111.peg.141|
seq41,fig|1280.52286.peg.35|
seq42,fig|1280.52250.peg.80|
seq43,fig|1280.52278.peg.8|
seq44,fig|1280.52277.peg.48|
seq45,fig|1280.52272.peg.84|
seq46,fig|1280.52129.peg.110|
seq47,fig|1280.52058.peg.94|
seq48,fig|1280.50584.peg.25|
seq49,fig|1280.50600.peg.102|
seq50,fig|1280.50636.peg.56|
seq51,fig|1280.50675.peg.145|
seq52,fig|1280.50765.peg.21|
seq53,fig|1280.50601.peg.253|
seq54,fig|1280.50686.peg.41|
seq55,fig|1280.49934.peg.16|
seq56,fig|1280.50768.peg.16|
seq57,fig|1280.50606.rna.1|
seq58,fig|1280.50719.peg.32|
seq59,fig|1280.50763.peg.16|
seq60,fig|1280.50766.peg.13|
seq61,fig|1280.49953.peg.26|
seq62,fig|1280.50645.rna.4|
seq63,fig|1280.49931.peg.127|
seq64,fig|1280.50609.peg.27|
seq65,fig|1280.50643.peg.912|
seq66,fig|1280.50596.peg.4|
seq67,fig|1280.50574.peg.107|
seq68,fig|1280.50767.peg.17|
seq69,fig|1280.51045.peg.84|
seq70,fig|1280.50941.peg.115|
seq71,fig|1280.50922.peg.15|
seq72,fig|1280.50790.peg.99|
seq73,fig|1280.50929.peg.62|
seq74,fig|1280.50923.peg.148|
seq75,fig|1280.51049.peg.111|
seq76,fig|1280.50793.peg.91|
seq77,fig|1280.50806.peg.91|
seq78,fig|1280.50918.peg.107|
seq79,fig|1280.50912.peg.40|
seq80,fig|1280.50799.peg.80|
seq81,fig|1280.50938.peg.13|
seq82,fig|1280.52842.peg.42|
seq83,fig|1280.53018.peg.305|
seq84,fig|1280.52857.peg.80|
seq85,fig|1280.52984.peg.92|
seq86,fig|1280.52820.peg.305|
seq87,fig|1280.52752.peg.26|
seq88,fig|1280.52955.peg.59|
seq89,fig|1280.52754.peg.705|
seq90,fig|1280.52802.peg.56|
seq91,fig|1280.52727.peg.98|
seq92,fig|1280.52950.peg.173|
seq93,fig|1280.52923.peg.29|
seq94,fig|1280.52774.peg.42|
seq95,fig|1280.52822.peg.56|
seq96,fig|1280.52942.peg.140|
seq97,fig|1280.52916.peg.60|
seq98,fig|1280.52753.peg.312|
seq99,fig|1280.52934.peg.242|
seq100,fig|1280.52758.peg.370|
seq101,fig|1280.52917.peg.170|
